company,title,location,url,description,date_found,status,date_applied,hash
Notion,"Product Manager, Growth","San Francisco, California",https://jobs.ashbyhq.com/notion/47ad2298-2976-4f9b-ad2d-c1046704fc18,"San Francisco, California",2025-08-23 12:52,Found,,d083558f21af
Figma,Product managers,Remote/Unknown,https://www.figma.com/product-managers/,,2025-08-23 12:52,Found,,0ded3a20439e
Figma,"Product Manager, AI","Product Manager, AI",https://boards.greenhouse.io/figma/jobs/5574247004?gh_jid=5574247004,,2025-08-23 12:52,Found,,22b48ef419e1
Figma,"Product Manager, Creation Engine","Product Manager, Creation",https://boards.greenhouse.io/figma/jobs/5566296004?gh_jid=5566296004,,2025-08-23 12:52,Found,,0a2a78e1c127
Figma,"Product Manager, Data and AI Infrastructure","Product Manager, Data",https://boards.greenhouse.io/figma/jobs/5565136004?gh_jid=5565136004,,2025-08-23 12:52,Found,,52ae1741936f
Figma,"Product Manager, Design Tools","Product Manager, Design",https://boards.greenhouse.io/figma/jobs/5505263004?gh_jid=5505263004,,2025-08-23 12:52,Found,,db36fcdf5456
Vercel,"Growth Product Manager LeadHybrid - New York City, San FranciscoRead more","New York City, San",https://vercel.com/careers/growth-product-manager-lead-5545514004,,2025-08-23 12:52,Found,,0de19b73f1c8
Vercel,"Product Manager - AccountsHybrid - New York City, San FranciscoRead more","New York City, San",https://vercel.com/careers/product-manager-accounts-5589398004,,2025-08-23 12:52,Found,,a841a24aa311
Vercel,"Product Manager - Agentic InfrastructureHybrid - New York City, San FranciscoRead more","New York City, San",https://vercel.com/careers/product-manager-agentic-infrastructure-5589448004,,2025-08-23 12:52,Found,,cb67ea1d0fff
Vercel,"Product Manager - AI SecurityHybrid - New York City, San FranciscoRead more","New York City, San",https://vercel.com/careers/product-manager-ai-security-5482193004,,2025-08-23 12:52,Found,,fccce164183c
Vercel,"Product Manager - CDNHybrid - New York City, San FranciscoRead more","New York City, San",https://vercel.com/careers/product-manager-cdn-5527913004,,2025-08-23 12:52,Found,,705d94545610
